sunlit times,,
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
44:11.2,44:30.9,19.696
24:10.1,24:29.8,19.677
44:05.7,44:25.3,19.644
24:08.7,24:28.3,19.626
44:00.1,44:19.7,19.596
24:07.1,24:26.7,19.574
43:54.4,44:13.9,19.543
24:05.5,24:25.0,19.524
43:48.6,44:08.1,19.493
24:03.7,24:23.1,19.475
43:42.8,44:02.2,19.443
24:01.7,24:21.2,19.426
43:36.8,43:56.2,19.394
23:59.7,24:19.1,19.379
43:30.9,43:50.2,19.346
23:57.5,24:16.9,19.331
43:24.8,43:44.1,19.298
23:55.3,24:14.6,19.285
43:18.7,43:38.0,19.249
23:52.9,24:12.1,19.239
43:12.6,43:31.8,19.205
23:50.5,24:09.7,19.196
43:06.5,43:25.6,19.159
23:47.9,24:07.1,19.15
43:00.3,43:19.4,19.113
23:45.3,24:04.4,19.105
42:54.1,43:13.2,19.069
23:42.7,24:01.8,19.062
42:47.9,43:06.9,19.025
23:40.0,23:59.0,19.02
42:41.7,43:00.7,18.982
23:37.3,23:56.3,18.978
42:35.5,42:54.5,18.939
23:34.6,23:53.5,18.937
42:29.4,42:48.3,18.897
23:31.8,23:50.7,18.897
42:23.3,42:42.1,18.853
23:29.0,23:47.9,18.857
42:17.2,42:36.0,18.815
23:26.2,23:45.1,18.818
42:11.1,42:29.9,18.775
23:23.5,23:42.2,18.78
42:05.1,42:23.8,18.736
23:20.6,23:39.4,18.742
41:59.1,42:17.7,18.697
23:17.8,23:36.6,18.705
41:53.1,42:11.7,18.659
23:15.0,23:33.7,18.668
41:47.1,42:05.7,18.621
23:12.2,23:30.8,18.632
41:41.1,41:59.7,18.584
23:09.4,23:28.0,18.597
41:35.2,41:53.7,18.547
23:06.5,23:25.1,18.561
41:29.3,41:47.8,18.51
23:03.6,23:22.1,18.527
41:23.3,41:41.8,18.474
23:00.7,23:19.2,18.492
41:17.4,41:35.9,18.439
22:57.8,23:16.3,18.459
41:11.5,41:29.9,18.403
22:54.9,23:13.3,18.425
41:05.6,41:23.9,18.369
22:51.9,23:10.3,18.392
40:59.7,41:18.0,18.338
22:48.9,23:07.3,18.359
40:53.8,41:12.1,18.298
22:46.0,23:04.3,18.327
40:47.9,41:06.1,18.266
22:43.0,23:01.3,18.295
40:42.0,41:00.2,18.233
22:40.0,22:58.2,18.263
40:36.1,40:54.3,18.201
